Year;IMF based exchange rate (KSH for 1$);Real interest rate (World Bank);World Growth (World bank);Average crude oil prices;Sub-Saharan Africa growth;GDP price deflator
1970;7.142860006142858;;3.5359422873954;1.21;10.0276609297353;1.748674618756264
1971;7.1428599977626;20.0693863354973;4.34275602886878;1.69;7.51550070459564;1.8195944501037886
1972;7.142859999;7.70192698626744;5.7260488190492;1.82;2.67041360127487;1.9425857605006849
1973;7.0203836880377;-1.09237705362646;6.50546589231847;2.8075;4.37129259498019;2.1407744670475433
1974;7.134811100736025;-5.64352717158499;1.99656371100572;10.9749994277954;7.91941112670118;2.4731871052275105
1975;7.343193332333334;-1.64090565512015;0.602978791616167;10.4325001239776;-0.0766366974178112;2.8015290431591713
1976;8.367144999166666;-7.49008376069386;5.27240589436656;11.6300001144409;5.27597624537852;3.270502894965461
1977;8.276560832416667;-5.90233635720829;3.93463354931751;12.5650000572204;2.39268416825131;3.8301981227132567
1978;7.729383332333333;6.71220181302224;3.88941949316408;12.9166666666667;-0.360939477357874;3.8857407715722694
1979;7.475309165666667;4.12856106843218;4.12418668421466;30.9645832777023;4.08563953988563;4.154299021319985
1980;7.420187499;0.942589238331665;1.90421232926181;36.8687499364217;4.03571976704519;4.548508953648187
1981;9.047498332583334;1.41050608618277;1.92299999865109;35.4849996566772;-0.46178779183316;5.040412167670887
1982;10.922324999416666;2.60541241101954;0.431397133511297;32.6472221268548;-1.13506069373388;5.652331210180176
1983;13.311516665916667;3.57239445157634;2.41208706713867;29.6577778392368;-2.4960772833776;6.31861779683235
1984;14.413874999416667;3.83512031871359;4.50559186195167;28.5574999915229;2.60383216427485;6.9617515677424135
1985;16.4321166665;5.25753765227108;3.71363915874841;27.1833333333333;1.76149197767586;7.53893316393942
1986;16.2257416665;4.86449504656528;3.39616153358322;14.35;1.61487439681514;8.1939273268998
1987;16.454491666666666;8.15738963863611;3.70215967625762;18.1458333333333;2.73188252728622;8.636530306721307
1988;17.7471;8.02623231556828;4.61744894308713;14.7180555555556;4.49428296199135;9.375082042334274
1989;20.572466666666664;6.8152119350016;3.67842326178209;17.8388888888889;2.52721988922274;10.161640706653872
1990;22.914766666666665;7.33279706910016;2.91837492913503;22.8791666666667;2.38316042914512;11.11143975682341
1991;27.50786666666667;5.74551264736804;1.47848769357822;19.3708333333333;0.390452079772601;12.398589698010545
1992;32.216833333333334;1.82532918641209;1.76320873564606;19.0208333333333;-0.377031295782643;14.469199641999392
1993;58.001333333333335;3.41347240715261;1.51720399273816;16.8416666666667;-0.897935401966649;18.02081617459883
1994;56.050575;16.4281098926983;2.98827236142351;15.8866666666667;1.20618704467921;21.592497549485408
1995;51.429833333333335;15.8016483376052;3.04002321966254;17.1833333333333;3.36963835357254;24.441604697712435
1996;57.11486666666667;-5.77658854155821;3.37878088270047;20.42;5.10988760662229;26.669762663493056
1997;58.73184166666667;16.8795684939578;3.68250794535668;19.1710427248677;3.59679986143975;29.77518545190169
1998;60.3667;21.09632602662;2.5534231293675;13.0644416666667;2.36523810824714;31.841455561251248
1999;70.32621666666667;17.4540487841647;3.24333651089066;18.0713888888889;2.16363987140321;33.17409674157119
2000;76.17554166666666;15.327433447511;4.38354416129563;28.2297194444445;3.50198933467583;35.2115006219725
2001;78.563195;17.8125009662806;1.94944414685212;24.3518250042927;4.2614309594674;35.808490573887184
2002;78.74914166666667;17.3581406443314;2.17638510320587;24.9277483818058;6.33878549684698;36.14944173591767
2003;75.93556944444444;9.77051092763397;2.95684985138351;28.8989031894808;4.25495301469748;38.390539506723805
2004;79.17387606421356;5.04525759604714;4.40295451838317;37.7333877030356;6.52567051690414;41.12675565305716
2005;75.55410945143106;7.60998754779151;3.91492406801117;53.3910245967906;6.20858523031632;43.142747627748825
2006;72.10083501786212;-8.00986697268556;4.37950740924713;64.2882591402016;6.1420796135608;46.50098865759628
2007;67.3176381242857;4.81909078881638;4.31925812309606;71.1165590100636;6.6188242751837;50.28162374725697
2008;69.175319816226;-0.984996971451723;1.85056149616105;96.9904537584629;5.35805850767299;57.90051943102553
2009;77.352012297579;2.83707816137581;-1.67892493205274;61.756922215508;3.04104172364423;64.63688632812905
2010;79.2331517045455;12.028232727528;4.2989225919154;79.0407717847173;5.58142606083463;65.99025210409957
2011;88.8107699710456;3.83851160958011;3.13298091850254;104.009397525526;4.4485679987871;73.11168253151648
2012;84.5296017573529;9.45661614903969;2.50763409239181;105.009628884877;4.0448363305118;79.9715893413031
2013;86.1228788982654;11.5478351826545;2.65436271969762;104.077497497587;5.00404362337412;84.10279212007389
2014;87.9221638089727;7.81510053698654;2.83318568384443;96.235;4.65892656375144;90.8884498310233
2015;98.1784533265271;5.50932372871636;2.80594403993194;50.7527777777778;2.82779789000871;100
2016;101.504369498594;10.4298171027855;2.48150064621998;42.8119444444444;1.23331188145322;105.5508681477742
2017;103.410916309218;2.78262331675337;3.10881541689862;52.805;2.53117014359259;116.72898173255064
2018;101.301574049018;9.93866822701598;2.97362919125077;68.3475;2.38768938165627;120.04390689395066
