Year;Final consumption expenditure;Household consumption expenditure;General government final consumption expenditure;Gross capital formation;Gross fixed capital formation;Changes in inventories;Exports of goods and services;Imports of goods and services;GDP
1970;919741630024.4022;830647554392.2396;92797085128.75166;248959723414.5059;216823387622.61234;2528858985.824949;209931750531.65683;256266018538.93887;1028732537205.5046
1971;1038547710764.0378;936742724890.5083;105897850087.674;248959723414.5059;257477772802.1407;-2589859456.1075163;219116264617.45752;298456155737.1716;1095609987042.051
1972;1059483212382.8353;949681160317.6664;113539962981.23318;226512535236.71442;246184888029.02353;-3857465332.362385;220428338057.91385;257828616213.7102;1150685533967.8127
1973;982336089121.6483;865769033913.2473;118946627884.40388;271427289015.0431;242184838150.2542;2027559256.3701131;243506741237.04245;252506465878.64883;1210556894474.7913
1974;1143849673102.7854;1018851967217.9014;128558476603.2677;254947775038.27496;214548129892.88168;3532780815.5396156;276053207259.1912;301391402286.4814;1269903067609.227
1975;1121851550140.5571;981998668459.0221;142075138862.6593;171903949708.7726;220002743364.63028;-7103755784.883562;243210864273.15735;226881297599.74057;1265176381253.25
1976;1088887026175.4308;936640762294.8558;153188838942.70114;194846018185.8219;217457257077.3013;-4034492953.626167;250311911406.39993;217813930363.8557;1316119556422.3643
1977;1197028004310.5955;1023387757833.8436;174214758013.84244;263349095888.47876;262912369342.89883;-1550080984.9036138;257117081574.45416;262953649868.11896;1436912652184.5005
1978;1409376543665.1855;1208788199281.4346;201548452804.86124;325389619092.4716;309822045201.47565;-23110529.477450762;261555236031.4275;337463754553.4869;1566108745910.4111
1979;1445553226090.9102;1242806628904.164;203951414984.21097;247515837363.8411;286549027721.502;-6423164171.118867;249128403550.8595;273203717179.68228;1624929731672.3044
1980;1483172425426.916;1275691110873.6985;208757339342.91046;333144684492.1622;293458204786.22986;2966390472.1605043;262738743886.96793;300405818890.08264;1715787147179.4043
1981;1422818650638.6296;1226931361746.785;197343268990.633;321835214117.883;306912918015.51715;-82692762.4093235;251791296224.5222;237131364911.30386;1780385194043.9067
1982;1457710469679.1772;1265485581987.0378;194339566266.812;248162092812.73715;242912119945.97437;-851491815.683659;259779974248.11685;198890729173.59412;1846033615653.4944
1983;1434754607970.2454;1224096492612.2163;211160301523.72504;214879937137.17865;209457157319.76266;-626884874.8684958;253862434971.71796;162424143546.65625;1871242609551.0066
1984;1547920760128.9277;1338625205676.6174;211160301523.72504;215849320311.33136;205457107439.4544;-7100977.943389509;255933573718.91373;191400295369.2014;1904329414041.298
1985;1444840408764.8872;1232034126190.9058;213262893429.37433;283383014839.8355;217093616180.2107;6619203793.160536;273094437621.64343;177799244514.0012;1985733456837.991
1986;1691993499267.574;1465627342937.2317;228581777323.64444;241053282863.55994;242912119945.97437;-1703221927.6392694;299723364366.0901;207760979731.57214;2128059234886.7476
1987;1828534970343.8958;1596031323160.5933;235790663863.1585;281444248489.9129;257457755871.15027;1304739593.154417;300315118293.8603;235357314800.532;2254104204375.856
1988;1963313552775.6943;1727569251037.15;240296217949.62238;306648211042.1414;278912568861.054;1623174170.1627252;314517212559.0422;256448799460.12494;2393804045560.353
1989;2065437853617.9175;1827356644598.948;243600290945.67892;320865830942.1131;276367082573.72504;3647131864.081705;345584293761.76544;281482617701.194;2506194143355.62
1990;2093858605273.3315;1843798885582.9246;255014361299.42126;308910105115.7035;286185386822.8725;978472148.1128858;411860733660.3002;291141334974.918;2611756805303.1934
1991;2147652356554.4602;1882353105823.1775;269732504647.7553;275627949440.145;277094364369.4452;-1864539553.875763;409197840986.6375;278131634156.1842;2648519921404.3765
1992;2138628444661.8955;1846633754719.0745;294362866988.6536;243315176938.7392;265094214731.5983;-4225123417.56942;412156610624.1853;271626783746.81726;2627512426488.7515
1993;2130963158238.4956;1814883220402.735;316590267148.73737;246223326462.81454;255639551381.08035;-2686269196.995622;546780629169.7538;363286039511.67487;2636965799200.7056
1994;2484301751820.1104;2072289337886.7107;409404681331.0649;276920460339.5543;290912718498.9009;-3449522942.8584676;423399935250.5161;424392210021.1223;2706290532421.185
1995;2593338524200.005;2139192249478.9746;449654297838.4689;317957681416.4206;335640548967.2393;-4164315700.729831;489676375150.3541;498705198027.21045;2825508066062.599
1996;2666097840450.136;2199858448973.9224;461669108735.2176;332821556768.5227;340004239746.1771;-2932849701.3022037;512458901365.59766;507772565263.09534;2942624850213.8433
1997;2751258732202.6055;2287068408453.5273;460720738972.56573;361269708034.3194;350613590978.25793;-860186078.4337344;457364759130.4748;561351441717.2609;2950579343104.9443
1998;2873616014006.0654;2401219767113.3887;469687633913.9926;436353259596.72754;378982008071.8046;4564008486.472055;436913756222.0419;587618936967.1464;3049590974106.3423
1999;2959837469803.458;2502549974098.2686;456652425549.2303;400858275152.1355;376113613102.11865;672390909.1802629;475770949987.76465;578930096763.6312;3113774523170.564
2000;2944713665513.911;2495664811874.8584;448851339190.32117;445411013422.64105;407184235749.5138;2098357709.0945742;480242789668.8703;590064383824.5181;3129269848168.3604
2001;3079619727592.1836;2625922271385.454;454662657429.3698;499402024484.4919;457602042074.01465;2219187183.156944;497957575038.1185;704942817230.6604;3269059289965.2783
2002;3110819936943.253;2649399352337.3794;462165486775.3514;397938816906.63416;429864153683.7604;-6445030217.145375;533396459512.33246;623564237318.7572;3287750822367.795
2003;3196718005677.6294;2706395384996.205;489898863560.6471;437439417079.5634;395430519125.03455;2623143016.212231;571857762240.3123;624998141714.4349;3383268367618.3184
2004;3264365429439.676;2771780784670.7354;492748996563.2592;470856345781.79126;424434061784.8752;2975153733.425138;643882794474.4623;701847958911.6268;3555937352136.5747
2005;3437469495943.516;2951133232317.4365;488891274727.3436;533143996222.4636;542422489169.65393;-4417660811.273427;704241798676.7493;806727043338.6818;3766174845097.095
2006;3679327564856.8115;3183562952954.0938;500323594658.53235;652844469069.0142;642990220646.2712;-2738246969.901461;725859363342.9938;950417750565.6156;4004417120146.14
2007;3889392455054.686;3352161416831.61;541081793866.78827;706106970279.8204;657122093692.5465;1863992064.1418097;770554031279.3644;992290536948.6228;4278750871533.5933
2008;3888420641282.2573;3301240019323.389;587344928117.6198;805923824681.9272;741585542690.1306;3188744012.4305367;788829576554.2334;1118746416608.173;4288697392703.197
2009;4092395815056.0913;3452734929822.402;638238568948.553;895317480197.2612;815507086939.6052;4591969639.095296;747659672538.8008;1212135579266.6963;4430519028814.568
2010;4372474311736.8955;3711304487648.2295;661288836474.4843;993012520054.9601;928483718802.5013;2072457829.8128147;813038749681.149;1310480919844.9646;4802679828916.9
2011;4631307247546.188;3944398745202.1196;688020611708.3806;1061338019163.5295;971813556625.9785;4803182891.672748;888473145060.9855;1485802327099.765;5096201075978.325
2012;4909127182909.971;4173769924539.9707;736003099735.586;1166195133451.07;1097663191518.7543;1520966987.2908425;884993405682.5037;1561118808564.881;5328330524543.214
2013;5300172833790.678;4521376449770.053;780607557360.4474;1158882733594.8716;1115934846960.3845;-1655706247.5283809;890101278131.2952;1551213306481.5933;5642012655796.749
2014;5502497421858.585;4711853033647.127;793840509145.8059;1284633378210.108;1274423945524.1658;-6544173444.460656;981790714442.9431;1715513668869.0957;5944261862265.6875
2015;5840365679688;4955073054688;885292625000;1348960399414;1358366375000;-9405975586;1042699817730.9999;1735621283039;6284184900909
2016;6125251357751.6;5189898544897.013;934846779180.1713;1288965497238.3933;1232985483529.8953;-807687783.2250757;1019769895728.9806;1676417419251.8293;6653628945100.341
2017;6564451434977.263;5582877347861.125;982565788510.7494;1408871907994.1716;1312093499172.3174;3598353290.4011645;952843130773.0625;1762885463588.3503;6977164195657.409
2018;6897231816775.787;5908646581957.984;992772960311.5514;1517134019563.7822;1371996624836.5286;9027304410.019972;989009774806.1267;1869256988905.156;7418105718265.944
